id,concepts,relations,elements,role,scene,encoding&recognition [ms],learning&structuring [ms]
1625762166380,4,2,10,18,16,4268,116034
1625762174362,6,8,10,26,13,19359,56566
1625762179644,4,6,10,24,16,13567,131877
1625762187628,2,4,10,21,10,2585,18275
1625762188721,4,8,10,21,15,14041,65586
1625762194050,2,8,10,23,12,7291,26920
1625762204613,8,6,10,23,17,23062,118643
1625762211002,6,6,10,21,16,18703,127299
1625762220150,8,8,10,20,15,23102,62097
1625762221182,2,4,10,23,11,2549,27958
1625762250002,2,8,10,20,13,8535,38864
1625762255677,6,4,10,20,17,14846,159424
1625762257413,2,2,4,6,22,3966,327039
1625762258212,2,2,10,18,1,239,0
1625762259787,2,2,10,18,2,504,62
1625762261237,2,2,10,18,3,594,269
1625762263146,2,2,10,18,4,740,503
1625762266776,2,2,10,18,5,719,1838
1625762268736,2,4,10,24,12,1632,41215
1625762268915,4,4,10,20,16,9303,137464
1625762269960,2,2,10,18,6,633,1668
1625762272844,2,6,10,22,15,7439,94093
1625762275553,2,2,10,18,7,987,3645
1625762284449,2,2,10,18,8,892,6719
1625762296540,2,2,10,18,9,888,9681
1625762300516,6,8,10,22,14,20419,82577
1625762313213,2,2,10,18,10,507,14204
1625762322149,2,8,10,23,14,9100,52537
1625762326786,2,4,10,23,13,2372,50589
1625762326890,4,8,10,21,16,16740,103598
1625762329135,4,2,10,18,17,2861,150587
1625762336819,2,2,10,18,11,785,19848
1625762368493,8,8,10,22,16,27553,89530
1625762376878,2,2,10,18,12,539,36178
1625762393470,4,6,10,23,17,13924,182762
1625762405227,2,4,10,20,14,4258,69601
1625762410567,8,6,10,22,18,24842,155987
1625762414221,2,6,10,23,16,9284,122522
1625762415693,2,8,10,23,15,8890,75232
1625762423064,2,2,10,18,13,1041,41569
1625762436232,6,2,10,18,20,11318,263937
1625762448552,6,6,10,23,17,20566,194731
1625762458582,6,8,10,21,15,23102,111922
1625762474418,4,4,10,23,17,9549,181326
1625762493502,2,2,10,18,14,871,64811
1625762501104,6,4,10,21,18,14135,215097
1625762504298,4,8,10,23,17,16999,140513
1625762510276,2,4,10,23,15,5018,92724
1625762531156,4,2,10,18,18,6336,184783
1625762545367,2,8,10,22,16,10649,107239
1625762558389,8,8,10,23,17,30144,122854
1625762595348,2,2,10,18,15,1043,95298
1625762615866,2,6,10,22,17,10725,178928
1625762659759,2,4,10,22,16,6615,135225
1625762672350,6,8,10,24,16,27169,159224
1625762680727,4,6,10,24,18,16255,251914
1625762682207,8,6,10,22,19,24707,217942
1625762718416,2,2,10,18,16,679,115297
1625762721718,2,8,10,22,17,14396,148494
1625762746648,4,8,10,25,18,23446,195661
1625762752746,6,2,10,18,21,2438,311775
1625762753723,6,6,10,25,18,22613,258703
1625762754676,4,4,10,25,18,14289,248985
1625762761772,8,8,10,24,18,26433,152480
1625762784083,6,4,10,24,19,5806,268291
1625762786484,4,2,10,18,19,8708,235543
1625762845475,2,4,10,19,17,7536,169547
1625762884168,2,2,10,18,17,1311,155387
1625762887488,2,6,10,25,18,12702,244991
1625762952014,6,8,10,21,17,29706,220484
1625762954353,2,8,10,24,18,13684,201417
1625762983952,8,6,10,23,20,17527,268788
1625763057568,4,8,10,24,19,21916,258339
1625763061064,8,8,10,24,19,35375,222106
1625763068041,4,6,10,20,19,21200,339919
1625763095376,4,2,10,18,20,2112,304501
1625763100153,2,4,10,24,18,7729,237716
1625763106650,4,4,10,22,19,13683,322078
1625763107342,2,2,10,18,18,1369,211272
1625763157822,6,6,10,21,19,21284,356881
1625763212371,6,4,10,21,20,24768,379292
1625763222125,6,2,10,18,22,15536,434488
1625763230801,6,2,19,36,1,1815,0
1625763242246,6,2,19,36,2,5592,31
1625763243921,2,6,10,23,19,14425,325055
1625763252627,6,2,19,36,3,5290,187
1625763260930,2,8,10,24,19,18472,270508
1625763264814,6,2,19,36,4,5153,745
1625763279145,6,2,19,36,5,6302,1536
1625763297935,6,2,19,36,6,8312,4034
1625763308368,6,8,10,21,18,28976,291210
1625763316327,6,2,19,36,7,6618,5579
1625763339264,6,2,19,36,8,7024,9862
1625763373303,6,2,19,36,9,6529,19488
1625763379143,2,2,10,18,19,1463,256654
1625763411684,6,2,19,36,10,6262,25143
1625763418493,2,4,10,24,19,7169,295810
1625763422844,8,6,10,22,21,34235,365935
1625763440925,8,8,10,22,20,43446,296866
1625763474622,6,2,19,36,11,6892,46580
1625763477509,4,8,10,21,20,29623,359345
1625763513773,4,2,10,18,21,11591,391867
1625763548079,6,2,19,36,12,7779,56644
1625763556926,4,6,10,23,20,24424,437434
1625763575463,4,4,10,22,20,15970,429567
1625763655119,2,8,10,22,20,20365,349430
1625763662548,6,2,19,36,13,10174,95105
1625763686249,6,4,10,25,21,6511,458912
1625763691173,6,6,10,22,20,29369,471567
1625763699815,2,6,10,22,20,15859,416709
1625763718424,6,8,10,23,19,18410,376146
1625763726105,2,2,10,18,20,8304,328424
1625763805717,6,2,19,36,14,12187,119920
1625763819765,2,4,10,22,20,13615,373089
1625763914400,8,8,10,23,21,44885,381468
1625763985706,8,6,10,22,22,38048,483410
1625763998737,6,2,19,36,15,10313,170929
1625764026110,4,8,10,22,21,29413,481339
1625764042790,8,6,19,44,1,8577,1
1625764057673,4,2,10,18,22,13775,511666
1625764063907,4,2,19,36,1,1619,0
1625764073128,4,2,19,36,2,3965,460
1625764081839,4,2,19,36,3,3881,684
1625764093216,4,2,19,36,4,5326,1314
1625764105678,4,2,19,36,5,5157,2733
1625764117764,4,2,19,36,6,4078,3159
1625764131899,2,8,10,23,21,25416,426442
1625764132749,4,2,19,36,7,4154,6565
1625764135085,8,6,19,43,2,46741,40
1625764150503,4,2,19,36,8,4384,8961
1625764157426,2,2,10,18,21,2385,409835
1625764162941,4,6,10,24,21,31174,547879
1625764172333,4,2,19,36,9,2954,13304
1625764192170,4,4,10,22,21,22751,570074
1625764214979,4,2,19,36,10,4526,30799
1625764225880,8,6,19,42,3,40168,206
1625764256648,6,8,10,22,20,37804,457947
1625764259171,6,2,19,36,16,14057,231986
1625764260863,2,6,10,21,21,19097,518046
1625764262862,4,2,19,36,11,4536,37063
1625764268663,6,6,10,22,21,13233,552826
1625764312801,6,4,10,23,22,29308,567548
